icp_rank,company,location,phone,email,website,service_lines,adjacent_service_lines,estimated_size_signal,icp_score,evidence_tier,score_service_fit,score_complexity,score_scale,score_data_confidence,source,source_url,evidence_urls
130,"Restaurant Technologies, Inc.","Denton, TX",612-747-0759,Not verified,https://directory.nationalrestaurantshow.com,Denton permitted waste hauler,Not verified,Not verified,50,Medium,30,3,5,12,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
131,"Tuco Brothers Waste, Inc","Houston, TX",832-896-8085,Not verified,https://tuco-brothers-waste-services.houstondirect.us,commercial solid waste franchise; reverify current status,Not verified,Not verified,50,Medium,30,3,5,12,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
132,V. F. Waste Service dba V.F. Trash Service,"Houston, TX",800-321-6742,Not verified,https://www.osha.gov,commercial solid waste franchise; reverify current status,Not verified,Not verified,50,Medium,30,3,5,12,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
133,Bayou City Waste Systems,"Houston, TX",Not verified,Not verified,https://bayoucitywaste.com/,commercial solid waste franchise; reverify current status,Not verified,Not verified,49,Low,30,3,5,11,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://bayoucitywaste.com/
134,City Waste,"Houston, TX",Not verified,Not verified,http://www.city-waste.com/,commercial solid waste franchise; reverify current status,Not verified,Not verified,49,Low,30,3,5,11,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,http://www.city-waste.com/
135,Efficient PM Solutions,"Austin, TX",Not verified,Not verified,https://efficientpmsolutions.com/,Austin URO licensed private hauler,Not verified,Not verified,49,Low,30,3,5,11,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://efficientpmsolutions.com/
136,Twister Waste,"Houston, TX",Not verified,Not verified,https://twisterwaste.wixsite.com/,commercial solid waste franchise; reverify current status,Not verified,Not verified,49,Low,30,3,5,11,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://twisterwaste.wixsite.com/
137,BFI Waste Services Of texas LP,"Houston, TX",202-640-1748,contact@highergov.com,Not verified,commercial solid waste franchise; reverify current status,Not verified,Not verified,48,Medium,30,3,5,10,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
138,Gold Star Disposal,"Garland, TX",214-517-2243,hello@roserocket.com,Not verified,Not verified,Not verified,Not verified,48,Medium,30,3,5,10,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,
139,Trash Queen formerly Maldonado Discount Waste,"Garland, TX",214-631-4400,hello@roserocket.com,Not verified,Not verified,Not verified,Not verified,48,Medium,30,3,5,10,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,
140,Trash Queen Waste& Recycling,"Plano, TX",214-631-4400,hello@roserocket.com,Not verified,construction & demolition recycling,Not verified,Not verified,48,Medium,30,3,5,10,City of Plano — C&D Permitted Haulers,https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800,
141,Independent Waste,"Garland, TX | New Braunfels, TX | Plano, TX",210-934-0628,Not verified,Not verified,"Commercial Recycling, Construction, Yard Debris | construction & demolition recycling",Not verified,Not verified,47,Low,30,3,5,9,City of Garland — Approved Franchise Haulers | City of New Braunfels — Permitted Private Haulers | City of Plano — C&D Permitted Haulers,https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800 | https://www.garlandtx.gov/3771/Approved-Hauler-List | https://www.newbraunfels.gov/4032/Community-Resources,
142,Gulf Coast Waste Service,"Houston, TX",Not verified,Not verified,https://www.hometowndumpsterrental.com,roll-off; commercial; recycling,Not verified,Not verified,46,Medium,30,3,5,8,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
143,Roll Off King,"Houston, TX",Not verified,Not verified,https://gflenv.com,roll-off; residential; commercial; recycling,Not verified,Not verified,46,Medium,30,3,5,8,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
144,"All Tex Recycling and Disposal, inc.","Houston, TX",Not verified,Not verified,https://www.texasdisposal.com,commercial solid waste franchise; reverify current status,Not verified,Not verified,46,Low,30,3,5,8,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
145,Bayou City Waste Environmental,"Houston, TX",Not verified,Not verified,https://bayoucitywaste.com,commercial solid waste franchise; reverify current status,Not verified,Not verified,46,Low,30,3,5,8,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
146,Reliable Roll-Off Services LLC,"Houston, TX",Not verified,Not verified,https://www.simarolloffllc.com,commercial solid waste franchise; reverify current status,Not verified,Not verified,46,Low,30,3,5,8,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
147,Specialized Waste Systems,"Houston, TX",Not verified,Not verified,https://rocketreach.co,commercial solid waste franchise; reverify current status,Not verified,Not verified,46,Low,30,3,5,8,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
148,"Stericycle Specialty Waste Solutions, Inc.","Houston, TX",Not verified,Not verified,https://www.stericycle.com,commercial solid waste franchise; reverify current status,Not verified,Not verified,46,Low,30,3,5,8,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,
149,Tres Amigos Recycling DBA-B&B Waste Transit Inc.,"Garland, TX",972-579-9296,Not verified,Not verified,residential; commercial,Not verified,Not verified,45,Medium,30,3,5,7,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,
150,"Alliance Recovery, LLC","Denton, TX",800-794-4408,Not verified,Not verified,Denton permitted waste hauler,Not verified,Not verified,45,Low,30,3,5,7,City of Denton — 2026 Permitted Waste Haulers,https://www.cityofdenton.com/DocumentCenter/View/14323,
